CZAS	TEMP_SONDA	TEMP_POMIESZCZENIE	TEMP_ESP32	REG_VL	REG_Alarm_1	REG_Alarm_2	REG_Alarm_3	REG_HMI_D1_ERROR	REG_HMI_D2_ERROR	pusty	REG_HMI_D3_ERROR	REG_MaxDS_1	REG_MinDS_1	REG_MaxDS_2	REG_MinDS_2	REG_MaxDS_3	REG_MinDS_3	REG_IleCzujnikow	REG_Alarm_VL	REG_IleDetali	REG_VLMaxPomiar	REG_VLMinPomiar	REG_MaxAnalowgowyOdczyt	REG_MaxOdczytFiltr	REG_PrzekroczenieWartosc	REG_MaxAlarm
19:04:44	2756	2525	2306	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1599	62	108	0	
19:04:45	2756	2525	2306	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	0	1661	109	1	
19:04:46	2756	2525	2306	182	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1622	39	110	0	
19:04:47	2756	2525	2306	185	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1347	314	110	0	
19:04:48	2756	2518	2306	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1430	231	111	0	
19:04:49	2762	2525	2306	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1683	22	112	0	
19:04:50	2756	2518	2306	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1782	121	113	0	
19:04:51	2756	2525	2306	182	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1599	62	114	0	
19:04:52	2762	2518	2306	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1599	62	115	0	
19:04:53	2762	2525	2306	185	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1691	30	115	0	
19:04:54	2762	2525	2306	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1507	154	117	0	
19:04:55	2756	2525	2306	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1444	217	118	0	
19:04:57	2762	2525	2306	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1811	150	118	0	
19:04:58	2756	2525	2306	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	0	1661	118	1	
19:04:59	2762	2525	2306	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	194	1467	119	0	
19:05:00	2762	2525	2306	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	0	1661	120	1	
19:05:01	2762	2525	2306	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1421	240	120	0	
19:05:02	2762	2518	2306	182	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1655	6	120	0	
19:05:03	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1485	176	120	0	
19:05:04	2762	2525	2312	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	1816	155	120	0	
19:05:05	2756	2518	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	196	178	0	1661	122	1	
